"","year","reent","variance","lcl","ucl"
"1",2000,0.0359653866955111,0.0282542870810489,0.0309066576527986,0.0975326899003213
"2",2001,0.0539083557951481,0.0103113179814118,0.0309066576527986,0.0975326899003213
"3",2002,0.0505533951540533,0.0136662786225067,0.0309066576527986,0.0975326899003213
"4",2003,0.0532414657062323,0.0109782080703276,0.0309066576527986,0.0975326899003213
"5",2004,0.0756972111553785,0.0114775373788186,0.0309066576527986,0.0975326899003213
"6",2005,0.072790294627383,0.00857062085082305,0.0309066576527986,0.0975326899003213
"7",2006,0.078938958133589,0.0147192843570291,0.0309066576527986,0.0975326899003213
"8",2007,0.0865028609895658,0.0222831872130058,0.0309066576527986,0.0975326899003213
"9",2008,0.0650016010246558,0.000781927248095851,0.0309066576527986,0.0975326899003213
"10",2009,0.0728260869565218,0.00860641317996186,0.0309066576527986,0.0975326899003213
"11",2010,0.0613556055252168,0.00286406825134315,0.0309066576527986,0.0975326899003213
"12",2011,0.0602134146341464,0.00400625914241359,0.0309066576527986,0.0975326899003213
"13",2012,0.0626415094339623,0.00157816434259769,0.0309066576527986,0.0975326899003213
"14",2013,0.0694392870404753,0.0052196132639153,0.0309066576527986,0.0975326899003213
"15",2014,0.102756581685575,0.0385369079090153,0.0309066576527986,0.0975326899003213
