"","fiscal_yr","age_in_fy","On-The-Run Rate","Lower Limit","Upper Limit"
"1",2000,13,0.015199730448,0.000992031772663184,0.0206009912457654
"6",2001,13,0.0162521226,0.000992031772663184,0.0206009912457654
"11",2002,13,0.016681551711,0.000992031772663184,0.0206009912457654
"16",2003,13,0.015530852844,0.000992031772663184,0.0206009912457654
"21",2004,13,0.010929249395,0.000992031772663184,0.0206009912457654
"26",2005,13,0.008261528834,0.000992031772663184,0.0206009912457654
"31",2006,13,0.012308826677,0.000992031772663184,0.0206009912457654
"36",2007,13,0.013085068842,0.000992031772663184,0.0206009912457654
"41",2008,13,0.009815678702,0.000992031772663184,0.0206009912457654
"46",2009,13,0.006878351347,0.000992031772663184,0.0206009912457654
"51",2010,13,0.001603972853,0.000992031772663184,0.0206009912457654
"56",2011,13,0.004542204458,0.000992031772663184,0.0206009912457654
"61",2012,13,0.010249124468,0.000992031772663184,0.0206009912457654
"66",2013,13,0.00981289795,0.000992031772663184,0.0206009912457654
"71",2014,13,0.006097995017,0.000992031772663184,0.0206009912457654
"2",2000,14,0.029808666717,0.0105587851499484,0.0428848353893373
"7",2001,14,0.035493115488,0.0105587851499484,0.0428848353893373
"12",2002,14,0.034669601787,0.0105587851499484,0.0428848353893373
"17",2003,14,0.038025319976,0.0105587851499484,0.0428848353893373
"22",2004,14,0.028869334951,0.0105587851499484,0.0428848353893373
"27",2005,14,0.022795710687,0.0105587851499484,0.0428848353893373
"32",2006,14,0.029985598683,0.0105587851499484,0.0428848353893373
"37",2007,14,0.028705106645,0.0105587851499484,0.0428848353893373
"42",2008,14,0.021682287088,0.0105587851499484,0.0428848353893373
"47",2009,14,0.019673831717,0.0105587851499484,0.0428848353893373
"52",2010,14,0.012161314987,0.0105587851499484,0.0428848353893373
"57",2011,14,0.019400131251,0.0105587851499484,0.0428848353893373
"62",2012,14,0.024639211545,0.0105587851499484,0.0428848353893373
"67",2013,14,0.028196112253,0.0105587851499484,0.0428848353893373
"72",2014,14,0.018445420002,0.0105587851499484,0.0428848353893373
"3",2000,15,0.040871116449,0.0261086448871304,0.056256844513441
"8",2001,15,0.050898126137,0.0261086448871304,0.056256844513441
"13",2002,15,0.041091507068,0.0261086448871304,0.056256844513441
"18",2003,15,0.038811843005,0.0261086448871304,0.056256844513441
"23",2004,15,0.049661063101,0.0261086448871304,0.056256844513441
"28",2005,15,0.040765787719,0.0261086448871304,0.056256844513441
"33",2006,15,0.046073471183,0.0261086448871304,0.056256844513441
"38",2007,15,0.050926213391,0.0261086448871304,0.056256844513441
"43",2008,15,0.04043739456,0.0261086448871304,0.056256844513441
"48",2009,15,0.028741281133,0.0261086448871304,0.056256844513441
"53",2010,15,0.029698441068,0.0261086448871304,0.056256844513441
"58",2011,15,0.03392367816,0.0261086448871304,0.056256844513441
"63",2012,15,0.045814651249,0.0261086448871304,0.056256844513441
"68",2013,15,0.038843851581,0.0261086448871304,0.056256844513441
"73",2014,15,0.033813597195,0.0261086448871304,0.056256844513441
"4",2000,16,0.051052599156,0.0340830844562672,0.0793664137890185
"9",2001,16,0.056423613899,0.0340830844562672,0.0793664137890185
"14",2002,16,0.064951497258,0.0340830844562672,0.0793664137890185
"19",2003,16,0.058846397511,0.0340830844562672,0.0793664137890185
"24",2004,16,0.062396688016,0.0340830844562672,0.0793664137890185
"29",2005,16,0.074829852078,0.0340830844562672,0.0793664137890185
"34",2006,16,0.067421820096,0.0340830844562672,0.0793664137890185
"39",2007,16,0.059004101748,0.0340830844562672,0.0793664137890185
"44",2008,16,0.064852552763,0.0340830844562672,0.0793664137890185
"49",2009,16,0.041360603127,0.0340830844562672,0.0793664137890185
"54",2010,16,0.032477451054,0.0340830844562672,0.0793664137890185
"59",2011,16,0.044926104631,0.0340830844562672,0.0793664137890185
"64",2012,16,0.052867949166,0.0340830844562672,0.0793664137890185
"69",2013,16,0.062735257214,0.0340830844562672,0.0793664137890185
"74",2014,16,0.055605391037,0.0340830844562672,0.0793664137890185
"5",2000,17,0.059160246294,0.0342129356651429,0.109357952033857
"10",2001,17,0.074573720115,0.0342129356651429,0.109357952033857
"15",2002,17,0.068843986551,0.0342129356651429,0.109357952033857
"20",2003,17,0.095678992799,0.0342129356651429,0.109357952033857
"25",2004,17,0.067004582696,0.0342129356651429,0.109357952033857
"30",2005,17,0.0804773602,0.0342129356651429,0.109357952033857
"35",2006,17,0.086083965195,0.0342129356651429,0.109357952033857
"40",2007,17,0.084729339606,0.0342129356651429,0.109357952033857
"45",2008,17,0.095719458884,0.0342129356651429,0.109357952033857
"50",2009,17,0.059693215782,0.0342129356651429,0.109357952033857
"55",2010,17,0.037329398745,0.0342129356651429,0.109357952033857
"60",2011,17,0.050854981621,0.0342129356651429,0.109357952033857
"65",2012,17,0.060591495136,0.0342129356651429,0.109357952033857
"70",2013,17,0.084255470269,0.0342129356651429,0.109357952033857
"75",2014,17,0.078851470832,0.0342129356651429,0.109357952033857
